Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE
1659669830.10869288445;10.1.1.1;10.2.1.1;59;500;54321;1234;77;0;1659669830.08664989471;0.02204298973;purr2.log;purr2;purr;142390
1659669830.17227101326;10.1.1.1;10.2.1.1;59;500;54321;1234;78;0;1659669830.11513400078;0.05713701248;purr2.log;purr2;purr;142390
1659669830.23337507248;10.1.1.1;10.2.1.1;59;500;54321;1234;79;0;1659669830.17534899712;0.05802607536;purr2.log;purr2;purr;142390
1659669830.27586698532;10.1.1.1;10.2.1.1;59;500;54321;1234;80;0;1659669830.23649406433;0.03937292099;purr2.log;purr2;purr;142390
1659669830.31599807739;10.1.1.1;10.2.1.1;59;500;54321;1234;81;0;1659669830.27613210678;0.03986597061;purr2.log;purr2;purr;142390
1659669830.37495708466;10.1.1.1;10.2.1.1;59;500;54321;1234;82;0;1659669830.32224297523;0.05271410942;purr2.log;purr2;purr;142390
1659669830.43533897400;10.1.1.1;10.2.1.1;59;500;54321;1234;83;0;1659669830.37974810600;0.05559086800;purr2.log;purr2;purr;142390
1659669830.48054409027;10.1.1.1;10.2.1.1;59;500;54321;1234;84;0;1659669830.43963503838;0.04090905190;purr2.log;purr2;purr;142390
1659669830.54548406601;10.1.1.1;10.2.1.1;59;500;54321;1234;85;0;1659669830.48479294777;0.06069111824;purr2.log;purr2;purr;142390
1659669830.58246111870;10.1.1.1;10.2.1.1;59;500;54321;1234;86;0;1659669830.54978895187;0.03267216682;purr2.log;purr2;purr;142390
1659669830.62789797783;10.1.1.1;10.2.1.1;59;500;54321;1234;87;0;1659669830.58716201782;0.04073596001;purr2.log;purr2;purr;142390
1659669830.66338109970;10.1.1.1;10.2.1.1;59;500;54321;1234;88;0;1659669830.63498306274;0.02839803696;purr2.log;purr2;purr;142390
1659669830.70077991486;10.1.1.1;10.2.1.1;59;500;54321;1234;89;0;1659669830.66957497597;0.03120493889;purr2.log;purr2;purr;142390
1659669830.74224710464;10.1.1.1;10.2.1.1;59;500;54321;1234;90;0;1659669830.70563602448;0.03661108017;purr2.log;purr2;purr;142390
1659669830.79079008102;10.1.1.1;10.2.1.1;59;500;54321;1234;91;0;1659669830.74783897400;0.04295110703;purr2.log;purr2;purr;142390
1659669830.81750297546;10.1.1.1;10.2.1.1;59;500;54321;1234;92;0;1659669830.79310202599;0.02440094948;purr2.log;purr2;purr;142390
1659669830.85178589821;10.1.1.1;10.2.1.1;59;500;54321;1234;93;0;1659669830.82365894318;0.02812695503;purr2.log;purr2;purr;142390
1659669830.89190196991;10.1.1.1;10.2.1.1;59;500;54321;1234;94;0;1659669830.85546207428;0.03643989563;purr2.log;purr2;purr;142390
1659669830.92226696014;10.1.1.1;10.2.1.1;59;500;54321;1234;95;0;1659669830.89304804802;0.02921891212;purr2.log;purr2;purr;142390
1659669830.99404406548;10.1.1.1;10.2.1.1;59;500;54321;1234;96;0;1659669830.92660593987;0.06743812561;purr2.log;purr2;purr;142390
1659669831.03122901917;10.1.1.1;10.2.1.1;59;500;54321;1234;97;0;1659669830.99710798264;0.03412103653;purr2.log;purr2;purr;142390
1659669831.06852102280;10.1.1.1;10.2.1.1;59;500;54321;1234;98;0;1659669831.03721094131;0.03131008148;purr2.log;purr2;purr;142390
1659669831.11480593681;10.1.1.1;10.2.1.1;59;500;54321;1234;99;0;1659669831.07363200188;0.04117393494;purr2.log;purr2;purr;142390
