Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641343858.85586905479;10.1.1.1;10.2.1.1;59;500;54321;1234;77;0;1641343858.76605391502;0.08981513977;limpo2.log;limpo2;limpo;213611;1112
1641343858.90467691422;10.1.1.1;10.2.1.1;59;500;54321;1234;78;0;1641343858.86607694626;0.03859996796;limpo2.log;limpo2;limpo;213611;1112
1641343858.93490791321;10.1.1.1;10.2.1.1;59;500;54321;1234;79;0;1641343858.90752506256;0.02738285065;limpo2.log;limpo2;limpo;213611;1112
1641343858.97683310509;10.1.1.1;10.2.1.1;59;500;54321;1234;80;0;1641343858.94169211388;0.03514099121;limpo2.log;limpo2;limpo;213611;1112
1641343859.02258491516;10.1.1.1;10.2.1.1;59;500;54321;1234;81;0;1641343858.98245191574;0.04013299942;limpo2.log;limpo2;limpo;213611;1112
1641343859.05052590370;10.1.1.1;10.2.1.1;59;500;54321;1234;82;0;1641343859.02785706520;0.02266883850;limpo2.log;limpo2;limpo;213611;1112
1641343859.10329103470;10.1.1.1;10.2.1.1;59;500;54321;1234;83;0;1641343859.07756209373;0.02572894096;limpo2.log;limpo2;limpo;213611;1112
1641343859.13502788544;10.1.1.1;10.2.1.1;59;500;54321;1234;84;0;1641343859.10832500458;0.02670288086;limpo2.log;limpo2;limpo;213611;1112
1641343859.16394996643;10.1.1.1;10.2.1.1;59;500;54321;1234;85;0;1641343859.14155602455;0.02239394188;limpo2.log;limpo2;limpo;213611;1112
1641343859.23789596558;10.1.1.1;10.2.1.1;59;500;54321;1234;86;0;1641343859.16974496841;0.06815099716;limpo2.log;limpo2;limpo;213611;1112
1641343859.28624701500;10.1.1.1;10.2.1.1;59;500;54321;1234;87;0;1641343859.24227190018;0.04397511482;limpo2.log;limpo2;limpo;213611;1112
1641343859.31816005707;10.1.1.1;10.2.1.1;59;500;54321;1234;88;0;1641343859.29307889938;0.02508115768;limpo2.log;limpo2;limpo;213611;1112
1641343859.34947490692;10.1.1.1;10.2.1.1;59;500;54321;1234;89;0;1641343859.32595610619;0.02351880074;limpo2.log;limpo2;limpo;213611;1112
1641343859.39573597908;10.1.1.1;10.2.1.1;59;500;54321;1234;90;0;1641343859.36248803139;0.03324794769;limpo2.log;limpo2;limpo;213611;1112
1641343859.42223906517;10.1.1.1;10.2.1.1;59;500;54321;1234;91;0;1641343859.40193700790;0.02030205727;limpo2.log;limpo2;limpo;213611;1112
1641343859.46187901497;10.1.1.1;10.2.1.1;59;500;54321;1234;92;0;1641343859.42941403389;0.03246498108;limpo2.log;limpo2;limpo;213611;1112
1641343859.48946595192;10.1.1.1;10.2.1.1;59;500;54321;1234;93;0;1641343859.46524596214;0.02421998978;limpo2.log;limpo2;limpo;213611;1112
1641343859.53199291229;10.1.1.1;10.2.1.1;59;500;54321;1234;94;0;1641343859.50562191010;0.02637100220;limpo2.log;limpo2;limpo;213611;1112
1641343859.58975791931;10.1.1.1;10.2.1.1;59;500;54321;1234;95;0;1641343859.53744888306;0.05230903625;limpo2.log;limpo2;limpo;213611;1112
1641343859.63795900345;10.1.1.1;10.2.1.1;59;500;54321;1234;96;0;1641343859.59759497643;0.04036402702;limpo2.log;limpo2;limpo;213611;1112
1641343859.67727708817;10.1.1.1;10.2.1.1;59;500;54321;1234;97;0;1641343859.64520502090;0.03207206726;limpo2.log;limpo2;limpo;213611;1112
1641343859.71020007133;10.1.1.1;10.2.1.1;59;500;54321;1234;98;0;1641343859.68598103523;0.02421903610;limpo2.log;limpo2;limpo;213611;1112
1641343859.76673507690;10.1.1.1;10.2.1.1;59;500;54321;1234;99;0;1641343859.71820092201;0.04853415489;limpo2.log;limpo2;limpo;213611;1112
1641343859.80446910858;10.1.1.1;10.2.1.1;59;500;54321;1234;100;0;1641343859.77791404724;0.02655506134;limpo2.log;limpo2;limpo;213611;1112
1641343859.83980202675;10.1.1.1;10.2.1.1;59;500;54321;1234;101;0;1641343859.81302094460;0.02678108215;limpo2.log;limpo2;limpo;213611;1112
1641343859.86856794357;10.1.1.1;10.2.1.1;59;500;54321;1234;102;0;1641343859.84530496597;0.02326297760;limpo2.log;limpo2;limpo;213611;1112
1641343859.93491411209;10.1.1.1;10.2.1.1;59;500;54321;1234;103;0;1641343859.89295005798;0.04196405411;limpo2.log;limpo2;limpo;213611;1112
1641343859.97416090965;10.1.1.1;10.2.1.1;59;500;54321;1234;104;0;1641343859.94182610512;0.03233480453;limpo2.log;limpo2;limpo;213611;1112
1641343860.01818394661;10.1.1.1;10.2.1.1;59;500;54321;1234;105;0;1641343859.98206305504;0.03612089157;limpo2.log;limpo2;limpo;213611;1112
1641343860.04971790314;10.1.1.1;10.2.1.1;59;500;54321;1234;106;0;1641343860.02248406410;0.02723383904;limpo2.log;limpo2;limpo;213611;1112
1641343860.09076499939;10.1.1.1;10.2.1.1;59;500;54321;1234;107;0;1641343860.06591296196;0.02485203743;limpo2.log;limpo2;limpo;213611;1112
1641343860.13090801239;10.1.1.1;10.2.1.1;59;500;54321;1234;108;0;1641343860.09809899330;0.03280901909;limpo2.log;limpo2;limpo;213611;1112
1641343860.17361307144;10.1.1.1;10.2.1.1;59;500;54321;1234;109;0;1641343860.13394308090;0.03966999054;limpo2.log;limpo2;limpo;213611;1112
1641343860.21960401535;10.1.1.1;10.2.1.1;59;500;54321;1234;110;0;1641343860.18505907059;0.03454494476;limpo2.log;limpo2;limpo;213611;1112
1641343860.25332999229;10.1.1.1;10.2.1.1;59;500;54321;1234;111;0;1641343860.22539401054;0.02793598175;limpo2.log;limpo2;limpo;213611;1112
1641343860.32780790329;10.1.1.1;10.2.1.1;59;500;54321;1234;112;0;1641343860.26933789253;0.05847001076;limpo2.log;limpo2;limpo;213611;1112
1641343860.35353708267;10.1.1.1;10.2.1.1;59;500;54321;1234;113;0;1641343860.33338308334;0.02015399933;limpo2.log;limpo2;limpo;213611;1112
1641343860.39321899414;10.1.1.1;10.2.1.1;59;500;54321;1234;114;0;1641343860.36514902115;0.02806997299;limpo2.log;limpo2;limpo;213611;1112
1641343860.42786908150;10.1.1.1;10.2.1.1;59;500;54321;1234;115;0;1641343860.40194511414;0.02592396736;limpo2.log;limpo2;limpo;213611;1112
1641343860.46991896629;10.1.1.1;10.2.1.1;59;500;54321;1234;116;0;1641343860.43471288681;0.03520607948;limpo2.log;limpo2;limpo;213611;1112
