Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641034644.51381897926;10.1.1.1;10.2.1.1;59;500;54321;1234;133;0;1641034644.48590302467;0.02791595459;rotor3.log;rotor3;rotor;281164;1112
1641034644.55247402191;10.1.1.1;10.2.1.1;59;500;54321;1234;134;0;1641034644.51809310913;0.03438091278;rotor3.log;rotor3;rotor;281164;1112
1641034644.58618593216;10.1.1.1;10.2.1.1;59;500;54321;1234;135;0;1641034644.55436491966;0.03182101250;rotor3.log;rotor3;rotor;281164;1112
1641034644.61952495575;10.1.1.1;10.2.1.1;59;500;54321;1234;136;0;1641034644.59021711349;0.02930784225;rotor3.log;rotor3;rotor;281164;1112
1641034644.65478801727;10.1.1.1;10.2.1.1;59;500;54321;1234;137;0;1641034644.62183308601;0.03295493126;rotor3.log;rotor3;rotor;281164;1112
1641034644.68740391731;10.1.1.1;10.2.1.1;59;500;54321;1234;138;0;1641034644.65825009346;0.02915382385;rotor3.log;rotor3;rotor;281164;1112
1641034644.72228503227;10.1.1.1;10.2.1.1;59;500;54321;1234;139;0;1641034644.69036507607;0.03191995621;rotor3.log;rotor3;rotor;281164;1112
1641034644.76194190979;10.1.1.1;10.2.1.1;59;500;54321;1234;140;0;1641034644.72637295723;0.03556895256;rotor3.log;rotor3;rotor;281164;1112
1641034644.79418802261;10.1.1.1;10.2.1.1;59;500;54321;1234;141;0;1641034644.76196002960;0.03222799301;rotor3.log;rotor3;rotor;281164;1112
1641034644.83177590370;10.1.1.1;10.2.1.1;59;500;54321;1234;142;0;1641034644.79788994789;0.03388595581;rotor3.log;rotor3;rotor;281164;1112
1641034644.86946606636;10.1.1.1;10.2.1.1;59;500;54321;1234;143;0;1641034644.83464097977;0.03482508659;rotor3.log;rotor3;rotor;281164;1112
